;;;;;;;
Оценка склада (в розничных ценах) ;;;;;;;
;;;;;;;
Параметры:;;Вид цены: ;;;;;
;;;;;;;
Склад;;;;;Остаток на складе;Себестоимость;Стоимость ( в розничных ценах)
Номенклатура, Ед. изм.;;;;s;;;
;;;;;;
, ;;;;;1,000;;
Блок питания 24v   2A (трансф.), шт;;;;;1,000;360,00;620,00
Блок питания 4.2v 0.5 A(для фонарей), шт;;;;;3,000;180,00;480,00
Блок питания 42v  2A        , шт;;;;;1,000;460,00;780,00
Блок питания 48v  3A        , шт;;;;;1,000;700,00;1 190,00
Блок питания 5V 2A (для Oriel 203,213), шт;;;;;3,000;420,00;900,00
Блок питания 5V-20V  4A    LP135 (8 насадок), шт;;;;;1,000;460,00;820,00
Блок питания 6V 0.5A    , шт;;;;;2,000;280,00;500,00
Блок питания 6V 1,5A (обратная полярность (-) --- +, шт;;;;;3,000;315,00;900,00
Блок питания 6V 1A                  1х350, шт;;;;;4,000;440,00;1 000,00
Блок питания 6V 1A  4.0х1.7мм  (для тонометров), шт;;;;;3,000;330,00;750,00
Блок питания 9V 1A (обратная полярность (-) --- +, шт;;;;;4,000;540,00;1 560,00
Блок питания 9V-24V  4A    LP145 (8 насадок), шт;;;;;1,000;490,00;840,00
Блок питания 9V2A, шт;;;;;3,000;390,00;900,00
Блок питания 9V3A, шт;;;;;3,000;630,00;1 110,00
Блок питания IB 5v 500 mA импульсн., шт;;;;;1,000;250,00;430,00
Блок питания Robiton NB 5000 авто    1х1950, шт;;;;;1,000;;1 950,00
Блок питания Selenga 12v 2A, шт;;;;;3,000;780,00;1 410,00
Блок питания Selenga AC 110-240V Output 9V/2A DC jack 5,5X2,1, шт;;;;;2,000;556,00;940,00
Блок питания д\нетбук.  Robiton Tablet 2000     1х980, шт;;;;;1,000;;980,00
Блок питания для антенн (регулир.)              3х150, шт;;;;;3,000;330,00;660,00
Блок питания для камер в корпусе Орбита OT-VNP02  (911) (10А,220В, 9 выходов) , шт;;;;;1,000;1 150,00;1 960,00
Блок питания для ноутбука  в короб Live Power /150w 12v-24v  4A, шт;;;;;1,000;800,00;1 360,00
Блок питания для ноутбука  в короб/150w 12v-24v  4A, шт;;;;;2,000;1 540,00;2 600,00
Блок питания для ноутбука NB-120        х2150, шт;;;;;1,000;1 400,00;2 150,00
Блок питания для ноутбуков  ASS LP524 19V  2,1A, шт;;;;;1,000;350,00;650,00
Блок питания для светодиодной ленты IP67 Slim  MG-12300    12V 25A  300W, шт;;;;;1,000;1 360,00;2 150,00
Блок питания для светодиодной ленты IP67 Slim  MG-1236  12V 3A 36W, шт;;;;;1,000;275,00;490,00
Блок питания регулиров.с диспл.12v-24v  5A, шт;;;;;1,000;840,00;1 400,00
Блок питания унивOG-83 5-20v (5,5*2,5) (8разъёмов), шт;;;;;1,000;500,00;850,00
Блок питания унивOG-84 9-24v (5,5*2,5) (8разъёмов), шт;;;;;1,000;480,00;820,00
Блок питания универ. для ноутбуков авто Vanson 6А, шт;;;;;1,000;780,00;1 350,00
Блок питания универсальный  LP80  3V-12V/3A + 8 насадок, шт;;;;;3,000;1 050,00;1 800,00
Блок-флейта Swan SW8K, шт;;;;;2,000;340,00;600,00
Блокнот ФК Ростов (Желто-синий А6 логотип), шт;;;;;2,000;784,00;1 180,00
Бокорезы (бол), шт;;;;;2,000;360,00;600,00
Бокорезы (чёрн.руч) мал.!!!, шт;;;;;3,000;375,00;630,00
Браслет д\ часов метал.плетён.(чёрн.), шт;;;;;9,000;2 250,00;3 780,00
Браслет для часов          7х350, шт;;;;;24,000;2 640,00;8 400,00
Браслет для часов  метал.нерж. (16мм-22мм), шт;;;;;1,000;250,00;430,00
Браслет для часов (жёлт.) (нерж.)   , шт;;;;;1,000;500,00;850,00
Браслет для часов (резин.)          12х200, шт;;;;;15,000;1 800,00;3 000,00
Браслет для часов магнитн. метал. , шт;;;;;1,000;150,00;270,00
Браслет для часов металл.(нерж..), шт;;;;;14,000;7 700,00;13 300,00
Браслет для часов металл.нерж.(жёлт.), шт;;;;;2,000;500,00;1 700,00
Брелок для авто ключей (кож-мет.), шт;;;;;4,000;400,00;880,00
Брелок для авто ключей (кож-петля с отвёрткой.), шт;;;;;9,000;900,00;1 710,00
Брелок для авто ключей (метал), шт;;;;;6,000;480,00;840,00
Брелок для ключей кож.логотип, шт;;;;;8,000;144,00;280,00
Брелок с логотипом ФК клубов мет (мяч), шт;;;;;2,000;40,00;100,00
Бритва Centek CT-2151 (черн) ротор 4D, ВЛАЖНОЕ БРИТЬЁ, 5 плав.голов, USB, зарядка 1 час, LiIon800мAч, шт;;;;;1,000;2 004,80;3 350,00
Бритва Centek CT-2156 (черный) 2-х лезвие,+ ВЛАЖНОЕ БРИТЬЁ, 3 плав. головки, 60 мин от аккум-ра, шт;;;;;1,000;1 055,34;1 790,00
Бритва Centek CT-2166 (хром/черный) ротор, 3 плавающие головки, АККУМУЛЯТОР + РАБОТА ОТ СЕТИ,триммер, шт;;;;;1,000;1 239,18;2 070,00
Бритва Centek CT-2170 ротор 3D, +ВЛАЖНОЕ БРИТЬЁ, 3 плав.головки, 2-ные лезвия, до 50 мин раб, шт;;;;;1,000;1 780,63;2 990,00
Бритва Centek CT-2176 (черн/хром) ротор, 3 плавающие головки, аккумулятор + работа от сети, триммер, шт;;;;;1,000;1 129,28;1 920,00
Бритва эл. VGR V-306 , шт;;;;;1,000;1 200,00;2 040,00
Бритва электрическая  НТ-9323, шт;;;;;1,000;500,00;900,00
Бритва электрическая ROZIA НТ-915 (40), шт;;;;;1,000;1 386,00;2 350,00
Бритва электрическая ROZIA НТ-917 (60), шт;;;;;1,000;947,00;1 620,00
Бритвенная головка Ct - 2172, шт;;;;;1,000;650,56;1 100,00
Бритвенная головка для Centek CT-2150, шт;;;;;1,000;691,55;1 180,00
Бритвенная головка для Centek CT-2151, шт;;;;;1,000;466,81;820,00
Бритвенная головка для Centek CT-2166, шт;;;;;1,000;552,17;970,00
Бритвенная головка для Centek CT-2167, шт;;;;;2,000;933,62;1 600,00
Бритвенная головка для Centek CT-2168, шт;;;;;1,000;697,61;1 190,00
Бритвенная головка для Centek CT-2169, шт;;;;;1,000;712,04;1 250,00
Бритвенная головка для Centek CT-2171, шт;;;;;2,000;1 497,96;2 540,00
Брусок точильный               3х70, шт;;;;;3,000;105,00;240,00
Бубен Brahner DP-910H, шт;;;;;1,000;818,00;1 390,00
Бубенцы Brahner DP-104 детские, шт;;;;;2,000;640,00;1 100,00
Бубенцы Brahner DР-113 CL   , шт;;;;;1,000;360,00;620,00
Будильник La Minor 50 синий, шт;;;;;2,000;368,00;660,00
Ванночка для ног Centek CT-2604 65 Вт, 3режима, инфракрасный авто.подогрев, вибрамассаж, шт;;;;;1,000;2 279,24;3 700,00
Варган-Комус Темарцева  VR-3, басовый, шт;;;;;1,000;420,00;750,00
Вафельница для орешков электрическая Sokany SK-805, шт;;;;;1,000;874,20;1 490,00
Вафельница электрическая Sokany SK-BBQ-831, шт;;;;;1,000;1 050,90;1 790,00
"Веер для мангала ""Мастер огня"", 214х324, шт";;;;;2,000;44,00;80,00
Вентилятор  24v 50х50x10 (RQD 5010HS       24VDC) 55610, шт;;;;;3,000;495,00;840,00
Вентилятор 12v 120x120x25мм ( (RQD 12025MS  12VDC) , шт;;;;;1,000;230,00;390,00
Вентилятор 12v 120x120x38мм  (RQD 12038MS  12VDC), шт;;;;;3,000;1 500,00;2 550,00
Вентилятор 12V 25х25х10mm RQD 2510MS DC, шт;;;;;4,000;1 000,00;1 680,00
Вентилятор 12V 30х30х10mm RQD 3010MS DC, шт;;;;;1,000;350,00;600,00
Вентилятор 12V 40х40x20mm RQD 4020MS DC, шт;;;;;1,000;150,00;260,00
Вентилятор 12v 50x50x15 RQD 5015MS, шт;;;;;1,000;180,00;300,00
Вентилятор 12V 50х50x10mm RQD 5010MS DC, шт;;;;;2,000;330,00;560,00
Вентилятор 12V 80х80x32мм (RQD 8032MS  12VDC), шт;;;;;1,000;240,00;410,00
Вентилятор 24v 120x120x25  (RQD 12025MS  12VDC), шт;;;;;5,000;1 150,00;1 950,00
Вентилятор 24V 80х80x25mm RQD 8025MS DC  55627, шт;;;;;4,000;760,00;1 280,00
Вентилятор 5V 40х40x10mm RQD 4010MS DC  55582, шт;;;;;1,000;160,00;270,00
Вентилятор напольн.Delta-020N (DL-005), шт;;;;;4,000;4 360,00;7 400,00
Вентилятор настольн. FC-180 (220v), шт;;;;;1,000;730,00;1 250,00
"Вентилятор настольный Centek CT-5006  9"" 35Вт,решетка-сетка 30см, лопасти 23 см,2 скорости  , шт";;;;;1,000;1 247,48;2 050,00
Вентилятор настольный Centek CT-5040  металл. решётка 14см, USB питание, шт;;;;;1,000;572,33;950,00
Вентилятор портативн раб.от аккум.18650 USB. 5v настольн. 2267, шт;;;;;1,000;760,00;1 290,00
Вентилятор портативн раб.от аккум.18650 USB. 5v настольн. 2269, шт;;;;;1,000;715,00;1 200,00
Вентилятор портативн раб.от аккум.18650 USB. 5v настольн. 2270 Vase, шт;;;;;1,000;520,00;890,00
Вентилятор радиальный (улитка) 12V 50х50х15mm DC, шт;;;;;2,000;460,00;780,00
Вентилятор с увлажнител. Arctic Air Ultra настольн. , шт;;;;;1,000;950,00;1 650,00
Весы безмен 10кг. (мех.)  кругл.   3х 70, шт;;;;;1,000;115,00;220,00
Весы безмен 45кг. A05(электр.), шт;;;;;1,000;220,00;400,00
Весы безмен 50кг. (электр.)  Wei Heng, шт;;;;;5,000;700,00;1 400,00
Весы безмен 50кг. (электр.) Portable Scale, шт;;;;;1,000;180,00;350,00
Весы кухон. 6018, шт;;;;;2,000;820,00;1 480,00
Весы кухонн. Орбита HOW06- 08 (5кг ), шт;;;;;1,000;390,00;670,00
Весы кухонные  электр.Homestar 5кг, шт;;;;;1,000;220,00;380,00
Весы кухонные  электр.с чашей  5кг, шт;;;;;2,000;580,00;1 040,00
Весы кухонные Centek CT-2457 <Green tea> сенсор, стеклянные, электронные, max 5кг, шаг 1г, LCD, шт;;;;;1,000;553,50;900,00
Весы кухонные Centek CT-2464 сталь, сенсор, LCD- 59х27 с подсветкой, t° в комнате,, шт;;;;;1,000;722,00;1 230,00
Весы кухонные Electronic-B05 5кг, шт;;;;;2,000;580,00;1 060,00
Весы кухонные Electronic-SF-400 10кг, шт;;;;;1,000;220,00;400,00
Весы напольн.электрон. -216, шт;;;;;1,000;450,00;800,00
Весы напольные Centek CT-2416 (Pink Flower) электронные 180кг, 0,1кг, LCD 45x28, размер 26х26см, шт;;;;;1,000;666,22;1 090,00
Весы напольные Centek CT-2425 White электронные 180кг, 0,1кг, LCD 45x28, размер 26х26см, 10 програм, шт;;;;;1,000;951,44;1 620,00
Весы напольные Centek CT-2428 <Sunflower> электронные 180кг, 0,1кг, LCD 65x28, размер 28х28см, шт;;;;;1,000;658,00;1 120,00
Весы напольные Centek CT-2430 <3D> электронные 180кг, 0,1кг, LCD 75x30, размер 30х30см, шт;;;;;1,000;1 013,00;1 690,00
Весы напольные электронные RM-1000 (15), шт;;;;;1,000;400,00;740,00
Весы ювелирн. -MH-198, шт;;;;;1,000;410,00;690,00
Весы ювелирн. -мини  136   100гр. -0.01гр.     , шт;;;;;1,000;360,00;600,00
Весы ювелирн. Professional Digital 0.1g-20000g, шт;;;;;2,000;580,00;1 560,00
Весы ювелирн. Орбита 0,1гр.-100гр.(HOW 06), шт;;;;;1,000;300,00;520,00
Весы ювелирн. Орбита 0,1гр.-500гр.(HOW 05), шт;;;;;1,000;270,00;460,00
Весы ювелирн.MH-100 0,01гр.-100гр., шт;;;;;1,000;220,00;390,00
Весы ювелирн.MH-200g 0,01гр., шт;;;;;3,000;630,00;1 140,00
Весы ювелирн.MH-500 0,1гр.-500гр., шт;;;;;3,000;600,00;1 200,00
Видеокамера ENC 309 (комн.), шт;;;;;1,000;780,00;1 300,00
Видеокамера помещ.Орбита OT-VNA26 AHD (3072x1728 3.6мм ,металл), шт;;;;;2,000;4 200,00;7 000,00
Видеоэндоскоп Орбита  (OT-SME-17) 5 м (8мм 1920*1080), шт;;;;;1,000;2 790,00;4 980,00
Вилка Евро 16А, шт;;;;;10,000;350,00;600,00
Вилка эл. универс. 10А (бел.), шт;;;;;13,000;234,00;520,00
Вилка электрич. с заземл. прям. бел. 16А 250В (еврослот) 4140 IN HOME (1/30/300), шт;;;;;1,000;39,15;70,00
Вилка электрич. с заземл. угл. бел. 16А 250В (еврослот) UNIVersal А105, шт;;;;;3,000;134,52;225,00
Вилка электрич. с заземл. угл. бел. с З/К 16А IP20 Беларусь (10/350), шт;;;;;4,000;193,76;340,00
Вилка электрич. с заземл. угл. с ушком бел. 16А 250В 4120 IN HOME (1/35/350), шт;;;;;10,000;517,60;900,00
Виномер, шт;;;;;6,000;180,00;300,00
Внешний аккум.  30000mA, шт;;;;;1,000;1 100,00;1 870,00
Внешний аккумул. 20000mA, шт;;;;;1,000;850,00;1 750,00
Внешний аккумул.Eplutus-EB-100L 10000 , шт;;;;;1,000;410,00;850,00
Внешний аккумулятор Hoco J100 10000 mAh, шт;;;;;1,000;900,00;1 550,00
Внешний аккумулятор Mivo MB-200, 20000 mAh, USB, 2A, шт;;;;;1,000;1 000,00;1 680,00
Внешний аккумулятор Mivo MB-201Q,с беспров.зарядк. 20000 mAh, USB, 2A, шт;;;;;1,000;1 000,00;1 700,00
Внешний аккумулятор Mivo MB-301, 30000 mAh, USB, 2A, шт;;;;;1,000;1 300,00;2 200,00
Вольтамперметр электр. 0-100v 0-10A, шт;;;;;2,000;240,00;500,00
Вольтметр 40х40 15v-20v- 30vDC (щитовой прибор), шт;;;;;1,000;78,00;150,00
Вспениватель-Капучинатор  (F) 2xAA батарейки 1,5 В, шт;;;;;2,000;180,00;340,00
Встраиваемый блок авто под 2 х USB гнёзда, шт;;;;;1,000;580,00;950,00
Втулка для мясорубки, шт;;;;;3,000;120,00;210,00
Выжигатель CJ-126, шт;;;;;2,000;580,00;1 080,00
Выключатель .бра   с цепочкой 15931, шт;;;;;4,000;280,00;500,00
Выключатель 1-клавишный 10А, белый Минск С/У ERV10-021-10 (10шт. в упак.) EKF, шт;;;;;6,000;779,46;1 320,00
Выключатель проходной на провод (15935), шт;;;;;5,000;175,00;325,00
Выключатель эл. дв. внутрений (Беларусь), шт;;;;;7,000;805,00;1 330,00
Выключатель эл. дв. наружн. (Беларусь)     5х105, шт;;;;;6,000;450,00;780,00
Выключатель эл. один.внутрен.      , шт;;;;;5,000;500,00;850,00
Выключатель эл. один.внутрен. (Беларусь)      х100, шт;;;;;1,000;100,00;170,00
Выключатель эл. один.наруж. (Беларусь), шт;;;;;2,000;120,00;200,00
Вымпел ФК Ростов (Большой А4), шт;;;;;2,000;1 400,00;2 100,00
Выпрямитель Centek CT-2005 (Black) 35Вт, гофре, 4 насадки, LED индикатор, широкие пластины, шт;;;;;1,000;1 083,46;1 790,00
Выпрямитель Centek CT-2006 80Вт, 4в1 -Гофре, КЕРАМИКА, 200C, шт;;;;;1,000;1 050,06;1 780,00
Выпрямитель Centek CT-2008 40Вт, керамические пластины 90х26мм, Ультрагладкая керамика,LED индикатор, шт;;;;;1,000;730,00;1 150,00
Выпрямитель Centek CT-2015 (Черн/фиолет), 40 Вт, ГОФРЕ, керамические пластины 90х38 мм, LED, шт;;;;;1,000;735,98;1 250,00
